,State,premature_deathYears_of_Potential_Life_Lost_Rate,adult_smoking_% Smokers,excessive_drinking_% Excessive Drinking,food_environment_index_Food Environment Index,uninsured_% Uninsured,unemployed_% Unemployed,nr of FFchains,poor_physical_health_days_Average Number of Physically Unhealthy Days,poor_mental_health_days_Average Number of Mentally Unhealthy Days,per_gop,is_obese
151,Arkansas,9634.0,25,14,6.1,11.0,4,0.0,5.5,5.2,0.6558417319895483,True
152,Arkansas,10729.0,26,17,5.8,8.0,4,1.0,5.4,5.2,0.7800921973706676,True
153,Arkansas,11636.0,29,14,4.0,9.0,4,0.0,6.1,5.5,0.4515449438202247,True
154,Arkansas,10783.0,27,16,5.7,10.0,4,0.0,5.5,5.1,0.704258064516129,True
155,Arkansas,9734.0,24,15,6.8,9.0,4,0.0,5.3,5.3,0.7175970639366428,True
156,Arkansas,10993.0,26,16,6.8,9.0,4,0.0,5.4,5.5,0.7831003039513678,False
157,Arkansas,9170.0,22,18,7.5,8.0,3,5.0,4.9,5.1,0.7463309634074751,True
158,Arkansas,11648.0,26,17,6.6,13.0,2,2.0,5.5,5.4,0.7696911984763978,False
159,Arkansas,11326.0,26,18,6.6,10.0,4,0.0,5.5,5.4,0.7707583633213382,False
160,Arkansas,11524.0,25,16,5.8,9.0,4,2.0,5.3,5.3,0.7211567547946034,True
161,Arkansas,14112.0,27,14,5.9,8.0,5,1.0,6.2,5.5,0.5911521633446767,True
162,Arkansas,18263.0,28,14,5.9,9.0,4,1.0,6.0,5.6,0.5486505681818182,True
163,Arkansas,7742.0,27,18,6.1,13.0,4,0.0,5.4,5.5,0.7864704363542474,False
164,Arkansas,9332.0,25,15,5.4,8.0,4,0.0,5.5,5.3,0.6351995235259082,True
165,Arkansas,10847.0,25,17,5.8,9.0,3,0.0,5.2,5.2,0.7983991995997999,True
166,Arkansas,11415.0,25,14,5.7,8.0,5,0.0,5.5,5.2,0.5497974867587496,True
167,Arkansas,9221.0,25,17,6.8,8.0,4,0.0,5.5,5.4,0.7518910741301059,True
168,Arkansas,15856.0,27,12,3.0,8.0,6,0.0,6.1,5.6,0.387215636014098,True
169,Arkansas,7737.0,25,16,6.3,13.0,3,0.0,5.3,5.4,0.8287800282618936,False
170,Arkansas,14035.0,28,16,5.3,9.0,3,0.0,6.0,5.9,0.7868634490094403,True
171,Arkansas,9450.0,25,16,5.1,12.0,4,1.0,5.7,5.5,0.8286219081272085,True
172,Arkansas,7813.0,23,16,7.0,11.0,4,4.0,5.1,5.0,0.7400540275049116,True
173,Arkansas,9162.0,25,17,5.7,10.0,4,0.0,5.3,5.2,0.7971387696709585,True
174,Arkansas,9605.0,19,18,6.6,8.0,3,30.0,4.6,4.5,0.3747263997740592,True
175,Arkansas,11405.0,27,16,6.0,10.0,3,1.0,5.6,5.7,0.7861127422196125,True
176,Arkansas,10893.0,27,16,5.2,9.0,5,1.0,5.8,5.3,0.456105796285875,True
177,Arkansas,8230.0,20,17,7.7,7.0,2,2.0,4.2,4.6,0.6944644393335557,False
178,Arkansas,10687.0,28,15,6.5,12.0,3,1.0,5.9,5.7,0.8341312306392565,True
179,Arkansas,10180.0,28,16,5.6,10.0,4,2.0,5.7,5.5,0.8372729534710127,False
180,Arkansas,9121.0,24,14,7.0,13.0,3,4.0,5.3,5.0,0.6618158676283411,True
181,Arkansas,9170.0,25,15,6.7,17.0,4,0.0,5.6,5.2,0.746635909265667,True
182,Arkansas,9896.0,29,16,6.0,11.0,5,0.0,5.8,5.6,0.7848268569918054,True
183,Arkansas,10624.0,28,16,5.7,13.0,4,1.0,5.8,5.6,0.7773661165375547,True
184,Arkansas,12933.0,23,16,6.1,9.0,5,1.0,4.8,5.1,0.6309387607635335,True
185,Arkansas,10328.0,26,17,6.6,10.0,5,0.0,5.4,5.5,0.7728961188676828,True
186,Arkansas,6775.0,21,18,7.6,12.0,2,17.0,4.4,4.8,0.5039356713979589,False
187,Arkansas,8790.0,24,17,7.1,10.0,4,2.0,5.0,5.1,0.7829690788408613,True
188,Arkansas,12287.0,27,15,6.3,9.0,5,0.0,5.8,5.5,0.6231825525040388,True
189,Arkansas,9830.0,25,16,7.1,12.0,4,1.0,5.3,5.2,0.7752558967512239,True
191,California,4341.0,11,18,8.9,5.0,2,34.0,3.8,4.0,0.1770559475439818,False
193,California,6204.0,16,25,8.3,6.0,3,0.0,4.3,4.5,0.6091381938839566,False
194,California,7578.0,17,22,7.4,8.0,5,6.0,4.7,5.1,0.4775484604378589,False
195,California,7867.0,16,23,8.2,7.0,3,0.0,4.2,4.7,0.6080842291267855,False
196,California,6576.0,16,20,7.8,12.0,12,0.0,4.8,4.7,0.5727581436297321,True
197,California,4619.0,11,18,8.9,6.0,3,12.0,3.8,4.1,0.2630232438105397,False
198,California,8783.0,19,21,6.3,7.0,5,0.0,5.2,5.2,0.5641809290953546,True
199,California,4819.0,13,24,8.5,6.0,3,8.0,3.7,4.1,0.5324527717026296,False
200,California,7008.0,16,19,7.4,9.0,7,12.0,4.7,4.7,0.4508222110748364,True
201,California,7523.0,17,20,7.7,12.0,6,0.0,5.1,4.9,0.625487070492384,True
202,California,8733.0,17,20,7.5,8.0,3,0.0,4.9,5.2,0.3162956936130645,False
203,California,5980.0,16,19,6.2,8.0,18,1.0,5.1,4.7,0.3675552734581614,True
204,California,7747.0,15,23,7.7,8.0,3,1.0,4.3,4.5,0.4872903702141124,False
205,California,8031.0,17,19,7.5,9.0,7,16.0,5.3,4.7,0.5388924927758448,False
206,California,6595.0,17,19,7.5,8.0,7,3.0,4.9,4.8,0.5488622372201195,True
207,California,11657.0,18,21,6.9,9.0,5,1.0,5.1,5.2,0.4556597222222222,False
208,California,6814.0,18,23,7.7,5.0,4,0.0,4.8,4.8,0.7484355444305382,True
209,California,5005.0,13,18,8.4,10.0,4,192.0,4.3,4.3,0.2686865990702819,False
210,California,6778.0,17,19,7.4,11.0,6,1.0,5.2,4.9,0.5468523137634489,True
211,California,3239.0,10,23,9.2,5.0,2,1.0,3.3,3.6,0.157970744732062,False
212,California,7090.0,16,22,7.6,8.0,4,0.0,4.5,4.7,0.5787937743190662,False
213,California,7754.0,17,22,7.6,10.0,4,0.0,4.9,4.8,0.3061426989108362,False
214,California,6593.0,16,17,7.2,9.0,8,6.0,5.4,5.0,0.4351288366596348,True
215,California,9282.0,19,21,6.9,9.0,7,0.0,5.0,5.1,0.7166897187644076,False
216,California,3979.0,14,23,7.8,10.0,3,1.0,4.0,4.3,0.3730146949680867,False
217,California,5072.0,14,19,8.4,12.0,6,5.0,4.6,4.4,0.2825125241788349,False
218,California,4401.0,12,23,9.1,8.0,2,1.0,3.7,4.0,0.2866809018052744,False
219,California,6068.0,14,25,8.1,7.0,3,1.0,3.8,4.3,0.4136519509407149,False
220,California,4144.0,11,19,9.1,8.0,2,72.0,4.0,3.8,0.4445599566281687,False
221,California,4471.0,12,24,8.9,5.0,3,12.0,3.7,3.8,0.5211878289655641,False
222,California,8709.0,16,24,7.9,7.0,7,0.0,4.2,4.6,0.5725835110163469,False
223,California,5842.0,14,18,8.2,9.0,4,37.0,4.7,4.4,0.4504334662442428,False
224,California,6382.0,14,20,8.1,6.0,3,14.0,4.2,4.5,0.3611424355065503,False
225,California,5386.0,13,20,9.1,8.0,5,0.0,4.2,4.3,0.3674404080358072,True
226,California,6846.0,15,19,8.0,9.0,3,39.0,5.0,4.5,0.4355375173468453,False
227,California,4634.0,13,21,8.6,9.0,3,53.0,3.9,4.0,0.374655526989078,False
228,California,4315.0,11,25,8.8,5.0,2,0.0,3.2,3.9,0.1272206161575617,False
229,California,7275.0,15,18,7.9,8.0,5,12.0,4.7,4.4,0.419833381291971,True
230,California,5153.0,14,24,8.6,7.0,2,12.0,4.0,4.5,0.4223169945077999,False
231,California,3297.0,10,21,9.4,5.0,2,5.0,3.4,3.6,0.2019655848911364,False
